sample, moisture, knotratio, treering, Edyn, density, beamheight, Estat, bstrength
units,%,-,mm,N/mm2,kg/m3,mm,N/mm2,N/mm2
DO211,12.9,0.28,4.16,11185,574,137,9916,37.77
DO216,14.7,0.24,4.54,14016,639,137,11124,53.92
DO221,14.2,0.24,3.24,11181,540,173,11124,46.57
DO226,13.1,0.23,6.44,9877,471,172,10236,28.32
DO231,14.7,0.24,4.85,13040,617,171,14776,62.04
DO236,14.6,0.45,6.92,11269,506,171,10188,31.82
DO241,13.4,0.25,4.5,11485,544,171,12108,37.6
DO246,13.8,0.25,2.48,14385,543,167,13668,49.7
DO251,13.1,0.37,4.3,11460,562,167,9328,22.45
DO256,13.2,0.19,3.87,12579,599,167,12748,53.65
DO261,14.5,0.07,1.96,21781,743,167,21464,91.8
DO266,15.7,0.26,2.48,20121,702,166,18676,42.44
DO271,16.2,0.39,3.3,10017,674,168,7084,16.25
DO276,16.4,0.08,1.98,22121,691,166,23292,82.81
DO281,13.1,0.25,4.81,9380,592,181,6988,17.39
DO286,15.2,0.33,4.06,15728,621,167,15980,52.62
DO296,14,0.13,3.58,15570,581,193,18232,49.4
DO301,14.2,0.26,6.2,12606,525,193,12480,38
DO306,14.8,0.23,4.96,11494,565,193,10244,50.9
DO311,15.4,0.3,3.54,11469,620,193,13552,41.5
DO316,14.4,0.35,5.67,11164,493,193,11920,30.3
DO321,13.8,0.3,5,10481,449,193,10456,31.2
DO326,12.9,0.22,4.29,12339,567,193,12804,53.5
DO331,14.1,0.4,3.91,9556,491,192,9932,33
DO336,11.5,0.15,5.06,12456,589,173,12752,40.6
DO346,14.4,0.19,3.39,13413,580,196,13012,50.9
DO351,13.8,0.33,6.73,11302,506,175,10552,32.8
DO356,14.1,0.18,5.56,13652,517,175,14572,47.4
DO357,12.7,0.45,7.38,9358,465,197,9768,23.1
DO360,12.9,0.19,5.16,14075,532,175,14124,48.7
